"Image Name","PID","Session Name","Session#","Mem Usage"
"cmd.exe","21772","Services","0","4 K"
"cmd.exe","15320","Services","0","4 K"
"cmd.exe","2292","Services","0","4 K"
"node.exe","23752","Services","0","5,732 K"
"node.exe","23052","Services","0","7,596 K"
"node.exe","13228","Services","0","7,888 K"
"cmd.exe","23896","Services","0","4 K"
"node.exe","14960","Services","0","7,472 K"
"cmd.exe","7792","Services","0","4 K"
"cmd.exe","19708","Services","0","4 K"
"cmd.exe","17252","Services","0","4 K"
"node.exe","15692","Services","0","7,536 K"
"node.exe","19820","Services","0","7,912 K"
"node.exe","22724","Services","0","8,088 K"
"cmd.exe","21092","Services","0","4 K"
"node.exe","16660","Services","0","6,788 K"
"docker.exe","8180","Services","0","5,916 K"
"conhost.exe","14784","Services","0","4 K"
"docker-mcp.exe","24336","Services","0","15,480 K"
"conhost.exe","20680","Console","1","N/A"
"node.exe","5232","Console","1","N/A"
"cmd.exe","1896","Console","1","N/A"
"node.exe","21184","Console","1","N/A"
"Notepad.exe","13468","Console","1","836 K"
"conhost.exe","10252","Console","1","N/A"
"node.exe","20568","Console","1","N/A"
"cmd.exe","2364","Console","1","N/A"
"node.exe","9000","Console","1","1,356 K"
"conhost.exe","6520","Console","1","N/A"
"node.exe","17240","Console","1","N/A"
"cmd.exe","20528","Console","1","N/A"
"node.exe","12944","Console","1","1,360 K"
"conhost.exe","19792","Console","1","N/A"
"node.exe","19212","Console","1","N/A"
"cmd.exe","7428","Console","1","N/A"
"node.exe","17332","Console","1","1,340 K"
"cmd.exe","19424","Console","1","N/A"
"conhost.exe","944","Console","1","N/A"
"node.exe","13856","Console","1","N/A"
"cmd.exe","4012","Console","1","N/A"
"node.exe","17444","Console","1","N/A"
"git.exe","22912","Console","1","1,056 K"
"git.exe","9544","Console","1","1,004 K"
"git.exe","17952","Console","1","1,008 K"
"git.exe","23344","Console","1","1,008 K"
"git.exe","4284","Console","1","1,004 K"
"git.exe","9888","Console","1","1,004 K"
"git.exe","13348","Console","1","1,060 K"
"git.exe","19000","Console","1","1,008 K"
"git.exe","24020","Console","1","1,004 K"
"git.exe","18916","Console","1","1,032 K"
"git.exe","4772","Console","1","888 K"
"git.exe","13248","Console","1","888 K"
"git.exe","10584","Console","1","888 K"
"conhost.exe","14024","Console","1","N/A"
"node.exe","4832","Console","1","N/A"
"cmd.exe","9808","Console","1","N/A"
"node.exe","24152","Console","1","N/A"
"conhost.exe","20292","Console","1","N/A"
"node.exe","13104","Console","1","N/A"
"cmd.exe","24300","Console","1","N/A"
"node.exe","22920","Console","1","1,380 K"
"conhost.exe","16252","Console","1","N/A"
"node.exe","18512","Console","1","N/A"
"cmd.exe","8740","Console","1","N/A"
"node.exe","13012","Console","1","N/A"
"conhost.exe","21004","Console","1","N/A"
"node.exe","24704","Console","1","N/A"
"cmd.exe","21164","Console","1","N/A"
"node.exe","25300","Console","1","1,368 K"
"conhost.exe","17816","Console","1","N/A"
"conhost.exe","12292","Console","1","N/A"
"node.exe","10696","Console","1","N/A"
"node.exe","21904","Console","1","N/A"
"cmd.exe","21636","Console","1","N/A"
"cmd.exe","24312","Console","1","N/A"
"node.exe","3876","Console","1","11,504 K"
"node.exe","6844","Console","1","N/A"
"DataExchangeHost.exe","10612","Console","1","N/A"
"conhost.exe","25572","Console","1","N/A"
"node.exe","5528","Console","1","N/A"
"cmd.exe","24648","Console","1","N/A"
"node.exe","1320","Console","1","N/A"
"RuntimeBroker.exe","21064","Console","1","N/A"
"MSPCManagerCore.exe","18516","Console","1","54,072 K"
"ShellHost.exe","18848","Console","1","1,604 K"
"OpenConsole.exe","17548","Console","1","624 K"
"pwsh.exe","17696","Console","1","8 K"
"conhost.exe","17628","Console","1","N/A"
"node.exe","3156","Console","1","N/A"
"cmd.exe","19608","Console","1","N/A"
"node.exe","22272","Console","1","N/A"
"conhost.exe","20644","Console","1","N/A"
"node.exe","20564","Console","1","N/A"
"cmd.exe","19756","Console","1","N/A"
"node.exe","18940","Console","1","1,372 K"
"brave.exe","24228","Console","1","44,076 K"
"brave.exe","4692","Console","1","N/A"
"brave.exe","20664","Console","1","5,100 K"
"brave.exe","14648","Console","1","10,464 K"
"brave.exe","10528","Console","1","1,724 K"
"brave.exe","2352","Console","1","2,380 K"
"brave.exe","19816","Console","1","2,152 K"
"brave.exe","16844","Console","1","2,296 K"
"brave.exe","17700","Console","1","1,940 K"
"brave.exe","15072","Console","1","1,832 K"
"brave.exe","26444","Console","1","1,960 K"
"brave.exe","2032","Console","1","1,588 K"
"brave.exe","8376","Console","1","1,860 K"
"brave.exe","25208","Console","1","1,848 K"
"brave.exe","13820","Console","1","2,048 K"
"brave.exe","12500","Console","1","2,488 K"
"hermes.exe","23200","Console","1","N/A"
"python.exe","21104","Console","1","N/A"
"python.exe","18264","Console","1","29,300 K"
"docker.exe","5132","Console","1","6,312 K"
"mindstudio.exe","13432","Console","1","404 K"
"conhost.exe","21628","Console","1","N/A"
"python.exe","21940","Console","1","N/A"
"python.exe","6368","Console","1","N/A"
"conhost.exe","1924","Console","1","N/A"
"conhost.exe","7656","Console","1","N/A"
"python.exe","18172","Console","1","N/A"
"conhost.exe","26452","Console","1","N/A"
"conhost.exe","8272","Console","1","N/A"
"python.exe","21652","Console","1","N/A"
"python.exe","3360","Console","1","N/A"
