skill_name	path	score	rating	dim1	dim2	dim3	dim4	dim5	lines
git-commit	github\git-commit\SKILL.md	79	WARN	20	20	8	18	13	162
git-helper	github\git-helper\SKILL.md	84	PASS	20	20	8	18	18	181
git-submodule-workflow	github\git-submodule-workflow\SKILL.md	83	PASS	20	20	8	17	18	293
github	github\github\SKILL.md	80	PASS	20	16	12	17	15	441
github-workflow	github\github-workflow\SKILL.md	66	WARN	20	12	12	17	5	413
sponsor-finder	github\sponsor-finder\SKILL.md	70	WARN	20	12	16	17	5	294
github-repo-management	github-repo-management\SKILL.md	82	PASS	20	20	12	17	13	565
gitnexus-explorer	gitnexus-explorer\SKILL.md	75	WARN	18	12	12	15	18	235
guidance	guidance\SKILL.md	72	WARN	18	12	12	12	18	607
here.now	here-now\SKILL.md	76	WARN	18	12	16	12	18	251
hermes-agent	hermes-agent\SKILL.md	69	WARN	20	12	12	20	5	152
honcho	honcho\SKILL.md	62	WARN	20	12	8	17	5	452
huggingface-tokenizers	huggingface-tokenizers\SKILL.md	72	WARN	18	12	12	12	18	555
hyperframes	hyperframes\SKILL.md	75	WARN	18	12	12	15	18	214
hyperliquid	hyperliquid\SKILL.md	75	WARN	18	12	12	15	18	225
instructor	instructor\SKILL.md	76	WARN	18	12	16	12	18	779
kanban-video-orchestrator	kanban-video-orchestrator\SKILL.md	74	WARN	18	12	12	12	20	272
lambda-labs-gpu-cloud	lambda-labs\SKILL.md	72	WARN	18	12	12	12	18	574
llava	llava\SKILL.md	67	WARN	18	12	12	12	13	343
hermes-mcp	mcp\hermes-mcp\SKILL.md	83	PASS	20	20	8	17	18	306
mcp-builder	mcp\mcp-builder\SKILL.md	83	PASS	20	20	12	18	13	103
mcp-cli	mcp\mcp-cli\SKILL.md	73	WARN	20	16	12	20	5	87
mcp-security-audit	mcp\mcp-security-audit\SKILL.md	73	WARN	20	16	12	20	5	87
native-mcp	mcp\native-mcp\SKILL.md	83	PASS	20	16	12	17	18	559
mcp-coding-agent-setup	mcp-coding-agent-setup\SKILL.md	82	PASS	18	16	12	18	18	189
mcporter	mcporter\SKILL.md	65	WARN	20	12	8	20	5	142
gif-search	media\gif-search\SKILL.md	69	WARN	20	12	12	20	5	111
heartmula	media\heartmula\SKILL.md	69	WARN	20	12	12	20	5	190
slack-gif-creator	media\slack-gif-creator\SKILL.md	73	WARN	20	16	12	20	5	87
songsee	media\songsee\SKILL.md	65	WARN	20	12	8	20	5	111
spotify	media\spotify\SKILL.md	65	WARN	20	12	8	20	5	155
transloadit-media-processing	media\transloadit-media-processing\SKILL.md	73	WARN	20	16	12	20	5	87
youtube-content	media\youtube-content\SKILL.md	86	PASS	20	12	16	20	18	90
meme-generation	meme-generation\SKILL.md	75	WARN	18	12	12	15	18	143
memento-flashcards	memento-flashcards\SKILL.md	72	WARN	18	12	12	12	18	335
distributed-llm-pretraining-torchtitan	mlops\distributed-llm-pretraining-torchtitan\SKILL.md	83	PASS	20	16	12	17	18	383
huggingface-accelerate	mlops\huggingface-accelerate\SKILL.md	84	PASS	18	16	12	20	18	235
huggingface-hub	mlops\huggingface-hub\SKILL.md	65	WARN	20	12	8	20	5	119
optimizing-attention-flash	mlops\optimizing-attention-flash\SKILL.md	79	WARN	20	16	8	17	18	388
peft-fine-tuning	mlops\peft\SKILL.md	72	WARN	18	12	12	12	18	468
qdrant-vector-search	mlops\qdrant-vector-search\SKILL.md	84	PASS	18	16	12	20	18	216
simpo-training	mlops\simpo\SKILL.md	72	WARN	18	12	12	12	18	256
stable-diffusion-image-generation	mlops\stable-diffusion-image-generation\SKILL.md	88	PASS	18	16	16	20	18	198
modal-serverless-gpu	modal\SKILL.md	76	WARN	18	12	16	12	18	371
nemo-curator	nemo-curator\SKILL.md	72	WARN	18	12	12	12	18	423
neuroskill-bci	neuroskill-bci\SKILL.md	76	WARN	18	12	16	12	18	486
obsidian	note-taking\obsidian\SKILL.md	73	WARN	20	16	12	20	5	87
one-three-one-rule	one-three-one-rule\SKILL.md	65	WARN	20	12	8	20	5	117
openclaw-migration	openclaw-migration\SKILL.md	72	WARN	18	12	12	12	18	327
openhands	openhands\SKILL.md	73	WARN	20	12	16	20	5	164
osint-investigation	osint-investigation\SKILL.md	74	WARN	18	12	12	12	20	313
oss-forensics	oss-forensics\SKILL.md	78	WARN	18	16	12	12	20	450
outlines	outlines\SKILL.md	79	WARN	20	16	8	17	18	675
page-agent	page-agent\SKILL.md	65	WARN	20	12	8	20	5	221
pinecone	pinecone\SKILL.md	67	WARN	18	12	12	12	13	394
pinggy-tunnel	pinggy-tunnel\SKILL.md	66	WARN	20	12	12	17	5	324
brainstorming	planning\brainstorming\SKILL.md	86	PASS	20	20	8	20	18	122
plans-and-specs	planning\plans-and-specs\SKILL.md	88	PASS	18	20	12	20	18	143
prompt-planning-orchestration	planning\prompt-planning-orchestration\SKILL.md	90	PASS	20	20	12	20	18	153
pptx-author	pptx-author\SKILL.md	65	WARN	20	12	8	20	5	195
prd	product\prd\SKILL.md	73	WARN	20	16	12	20	5	87
airtable	productivity\airtable\SKILL.md	66	WARN	20	16	8	17	5	267
