skill_name	path	score	rating	dim1	dim2	dim3	dim4	dim5	lines
node-inspect-debugger	software-development\node-inspect-debugger\SKILL.md	69	WARN	20	16	8	12	13	341
nuget-manager	software-development\nuget-manager\SKILL.md	73	WARN	20	16	12	20	5	87
plan	software-development\plan\SKILL.md	65	WARN	20	16	4	20	5	103
project-docs	software-development\project-docs\SKILL.md	80	PASS	20	16	8	18	18	117
python-debugpy	software-development\python-debugpy\SKILL.md	69	WARN	20	16	8	12	13	397
quasi-coder	software-development\quasi-coder\SKILL.md	64	WARN	20	12	12	15	5	411
receiving-code-review	software-development\receiving-code-review\SKILL.md	69	WARN	20	16	8	20	5	113
refactor	software-development\refactor\SKILL.md	73	WARN	20	16	12	20	5	87
requesting-code-review	software-development\requesting-code-review\SKILL.md	66	WARN	20	12	12	17	5	298
sandbox	software-development\sandbox\SKILL.md	68	WARN	20	16	12	15	5	237
script-orchestration	software-development\script-orchestration\SKILL.md	89	PASS	20	20	16	15	18	322
shadcn	software-development\shadcn\SKILL.md	81	PASS	20	20	8	20	13	144
spike	software-development\spike\SKILL.md	69	WARN	20	16	8	20	5	239
subagent-driven-development	software-development\subagent-driven-development\SKILL.md	76	WARN	18	12	16	12	18	378
systematic-debugging	software-development\systematic-debugging\SKILL.md	91	PASS	20	20	16	17	18	414
test-driven-development	software-development\test-driven-development\SKILL.md	80	PASS	18	16	16	12	18	555
winapp-cli	software-development\winapp-cli\SKILL.md	67	WARN	20	12	12	18	5	223
worktrunk	software-development\worktrunk\SKILL.md	76	WARN	20	20	8	15	13	236
writing-plans	software-development\writing-plans\SKILL.md	83	PASS	20	20	8	17	18	376
solana	solana\SKILL.md	75	WARN	18	12	12	15	18	224
stable-diffusion-image-generation	stable-diffusion\SKILL.md	72	WARN	18	12	12	12	18	552
stocks	stocks\SKILL.md	75	WARN	18	12	12	15	18	109
telephony	telephony\SKILL.md	72	WARN	18	12	12	12	18	439
tensorrt-llm	tensorrt-llm\SKILL.md	75	WARN	18	12	12	15	18	224
distributed-llm-pretraining-torchtitan	torchtitan\SKILL.md	72	WARN	18	12	12	12	18	395
unsloth	unsloth\SKILL.md	82	PASS	20	16	8	20	18	105
web-pentest	web-pentest\SKILL.md	78	WARN	18	16	12	12	20	358
whisper	whisper\SKILL.md	67	WARN	18	12	12	12	13	354
youtube-full	youtube-full\SKILL.md	82	PASS	20	12	12	20	18	223
